rank,dest,origin,nineteenninetyall,nineteenninetyfiveall,twothousandall,twothousandfiveall,twothousandtenall,twothousandfiftheenall,twothousandtwentyall,1990,1995,2000,2005,2010,2015,male2020,1990,1995,2000,2005,2010,2015,female2020
1,   United Arab Emirates,   India, 458 294, 667 853, 915 878,1 286 993,2 913 858,3 184 043,3 471 300, 353 599, 506 060, 685 691, 978 024,2 264 033,2 445 963,2 666 029, 104 695, 161 793, 230 187, 308 969, 649 825, 738 080, 805 271
2,   United States of America,   India, 450 406, 746 337,1 048 517,1 390 605,1 784 284,2 389 639,2 723 764, 238 925, 397 485, 560 016, 746 307, 946 212,1 258 676,1 431 847, 211 481, 348 852, 488 501, 644 298, 838 072,1 130 963,1 291 917
3,   Saudi Arabia,   India, 906 468, 929 709, 978 992,1 216 549,1 579 235,2 003 256,2 502 337, 612 071, 627 174, 664 047, 846 607,1 120 873,1 406 156,1 741 093, 294 397, 302 535, 314 945, 369 942, 458 362, 597 100, 761 244
4,   Australia,   India, 69 928, 78 297, 90 680, 148 935, 329 510, 449 040, 579 264, 35 701, 40 084, 47 293, 82 327, 192 500, 246 605, 317 525, 34 227, 38 213, 43 387, 66 608, 137 010, 202 435, 261 739
5,   Canada,   India, 166 640, 240 035, 319 138, 424 855, 517 890, 664 465, 720 083, 81 125, 116 145, 153 954, 209 794, 259 701, 331 826, 359 654, 85 515, 123 890, 165 184, 215 061, 258 189, 332 639, 360 429
1,   United States of America,   Mexico,4 298 014,6 827 945,9 410 529,10 611 064,12 168 662,11 643 298,10 853 105,2 315 850,3 692 951,5 104 175,5 782 166,6 554 739,6 230 901,5 796 774,1 982 164,3 134 994,4 306 354,4 828 898,5 613 923,5 412 397,5 056 331
2,   Canada,   Mexico, 18 610, 30 113, 42 332, 61 186, 69 695, 80 090, 86 780, 9 060, 14 566, 20 421, 29 641, 33 906, 37 280, 40 395, 9 550, 15 547, 21 911, 31 545, 35 789, 42 810, 46 385
3,   Spain,   Mexico, 9 649, 11 659, 18 686, 35 811, 44 801, 48 613, 60 854, 3 999, 4 903, 8 137, 15 602, 19 426, 20 525, 25 059, 5 650, 6 756, 10 549, 20 209, 25 375, 28 088, 35 795
4,   Germany,   Mexico, 3 437, 4 652, 5 867, 10 738, 14 713, 15 100, 20 266, 1 253, 1 514, 1 775, 4 038, 5 941, 6 043, 8 568, 2 184, 3 138, 4 092, 6 700, 8 772, 9 057, 11 698
5,   Guatemala,   Mexico, 5 402, 8 236, 11 070, 13 160, 15 250, 16 720, 18 872, 1 558, 3 466, 5 374, 7 133, 8 892, 9 895, 11 108, 3 844, 4 770, 5 696, 6 027, 6 358, 6 825, 7 764
1,   United States of America,   China, 773 939,1 058 487,1 348 465,1 607 654,1 922 950,2 676 697,2 184 110, 378 564, 519 973, 664 923, 797 231, 940 249,1 298 394,1 056 972, 395 375, 538 514, 683 542, 810 423, 982 701,1 378 303,1 127 138
2,   Republic of Korea,   China, 19 827, 48 299, 92 142, 243 217, 490 407, 759 204, 803 011, 10 564, 24 455, 47 637, 121 985, 233 675, 362 953, 376 444, 9 263, 23 844, 44 505, 121 232, 256 732, 396 251, 426 567
3,   Japan,   China, 150 383, 222 311, 335 600, 648 120, 687 156, 714 570, 775 893, 74 831, 110 050, 155 039, 296 819, 311 580, 337 804, 366 794, 75 552, 112 261, 180 561, 351 301, 375 576, 376 766, 409 099
4,   Canada,   China, 168 079, 286 712, 412 162, 508 994, 611 990, 645 278, 699 190, 81 825, 138 663, 198 829, 237 598, 280 194, 288 860, 312 899, 86 254, 148 049, 213 333, 271 396, 331 796, 356 418, 386 291
5,   Australia,   China, 97 526, 108 346, 144 690, 227 561, 371 550, 508 870, 653 232, 51 145, 54 255, 69 016, 104 754, 168 629, 228 993, 292 955, 46 381, 54 091, 75 674, 122 807, 202 921, 279 877, 360 277
1,   Ukraine,   Russian Federation,5 018 098,4 355 392,3 745 842,3 422 713,3 265 811,3 275 758,3 330 586,2 150 244,1 829 955,1 531 998,1 402 646,1 341 012,1 347 176,1 369 721,2 867 854,2 525 437,2 213 844,2 020 067,1 924 799,1 928 582,1 960 865
2,   Kazakhstan,   Russian Federation,2 474 111,2 253 497,2 032 883,2 122 379,2 211 875,2 352 598,2 476 018,1 122 461,1 020 754, 919 047, 988 127,1 057 208,1 144 573,1 204 657,1 351 650,1 232 743,1 113 836,1 134 252,1 154 667,1 208 025,1 271 361
3,   Germany,   Russian Federation, 77 318, 490 548, 903 777, 889 324, 857 226, 876 302,1 198 831, 37 999, 199 409, 360 818, 384 844, 392 878, 398 649, 483 306, 39 319, 291 139, 542 959, 504 480, 464 348, 477 653, 715 525
4,   Uzbekistan,   Russian Federation,1 267 201,1 161 963,1 067 247, 980 674, 913 652, 877 690, 871 047, 548 390, 498 572, 454 169, 429 565, 412 203, 403 502, 401 787, 718 811, 663 391, 613 078, 551 109, 501 449, 474 188, 469 260
5,   Belarus,   Russian Federation, 791 522, 749 767, 708 011, 698 192, 688 372, 682 362, 672 481, 349 598, 333 116, 316 633, 312 157, 307 680, 305 167, 300 709, 441 924, 416 651, 391 378, 386 035, 380 692, 377 195, 371 772
1,   Turkey,   Syrian Arab Republic, 5 247, 5 106, 4 995, 5 178, 5 336,2 714 774,3 792 505, 2 742, 2 557, 2 388, 2 417, 2 428,1 655 872,2 301 270, 2 505, 2 549, 2 607, 2 761, 2 908,1 058 902,1 491 235
2,   Lebanon,   Syrian Arab Republic, 23 553, 24 856, 26 159, 22 970, 19 987,1 194 049,1 042 785, 13 138, 13 322, 13 507, 12 414, 11 411, 575 741, 512 527, 10 415, 11 534, 12 652, 10 556, 8 576, 618 308, 530 258
3,   Saudi Arabia,   Syrian Arab Republic, 305 838, 313 441, 322 050, 397 826, 515 803, 659 067, 823 261, 172 718, 177 724, 183 199, 236 194, 317 211, 393 766, 485 033, 133 120, 135 717, 138 851, 161 632, 198 592, 265 301, 338 228
4,   Germany,   Syrian Arab Republic, 15 330, 20 223, 25 116, 34 895, 42 766, 197 186, 707 457, 10 588, 12 480, 14 373, 20 554, 25 587, 117 790, 439 155, 4 742, 7 743, 10 743, 14 341, 17 179, 79 396, 268 302
5,   Jordan,   Syrian Arab Republic, 51 557, 54 585, 57 624, 54 460, 124 888, 674 705, 698 701, 28 760, 30 463, 32 278, 37 396, 81 609, 337 853, 353 095, 22 797, 24 122, 25 346, 17 064, 43 279, 336 852, 345 606
